6e-06,4e-06,1.1e-05,5e-06,7e-06
1.5e-05,1.5e-05,9e-06,8e-06,7e-06
3e-06,3e-06,6e-06,4e-06,9.4e-05
5e-06,4e-06,7e-06,8e-06,1e-05
3e-06,2.9e-05,7e-06,4e-06,6e-06
4e-06,4e-06,7e-06,6e-06,7e-06
4e-06,5e-06,9e-06,9e-06,6e-06
4e-06,4e-06,6e-06,4e-06,6e-06
9e-06,4e-06,1e-05,5e-06,6e-06
3e-06,6e-06,6e-06,5e-06,5e-06
3e-06,1e-05,4e-06,1e-05,5e-06
5e-06,5e-06,6e-06,8e-06,6e-06
6e-06,4e-06,1e-05,9e-06,1.1e-05
4e-06,3e-06,6e-06,5e-06,5e-06
4e-06,9e-06,4e-06,4e-06,6e-06
5e-06,4e-06,1e-05,6e-06,1.3e-05
4e-06,9e-06,7e-06,1.5e-05,7e-06
3e-06,5e-06,5e-06,6e-06,6e-06
5e-06,6e-06,5e-06,6e-06,7e-06
5e-06,6e-06,6e-06,1.4e-05,6e-06
6e-06,3e-06,5e-06,1.8e-05,9e-06
6e-06,5e-06,4e-06,7e-06,1.7e-05
4e-06,4e-06,6e-06,6e-06,6e-06
4e-06,7e-06,9e-06,1.1e-05,8e-06
5e-06,3e-06,6e-06,5e-06,5e-06
4e-06,6.7e-05,8e-06,1.9e-05,5e-06
4e-06,5e-06,4e-06,8e-06,6e-06
4e-06,9e-06,6e-06,7e-06,5e-06
4e-06,6e-06,6e-06,8e-06,2.6e-05
4e-06,5e-06,5e-06,4e-06,5e-06
7e-06,6e-06,5e-06,1.6e-05,6e-06
6e-06,5e-06,5e-06,7e-06,2.1e-05
7e-06,5e-06,1e-05,5e-06,5e-06
5e-06,5e-06,6e-06,5e-06,6e-06
5e-06,5e-06,5e-06,9e-06,6e-06
7e-06,6e-06,7e-06,1.1e-05,1.2e-05
5e-06,5e-06,6e-06,5e-06,9e-06
3e-06,4e-06,8e-06,6e-06,7e-06
5e-06,5e-06,5e-06,9e-06,1.1e-05
3e-06,1e-05,5e-06,6e-06,9e-06
5e-06,5e-06,5e-06,5e-06,8e-06
4e-06,4e-06,5e-06,6e-06,6e-06
4e-06,9e-06,8e-06,6e-06,1.1e-05
6e-06,5e-06,6e-06,5e-06,1e-05
4e-06,8e-06,9e-06,9e-06,5e-06
4e-06,4e-06,6e-06,6e-06,8e-06
3e-06,5e-06,6e-06,5e-06,7e-06
4e-06,4e-06,4e-06,6e-06,5e-06
5e-06,3e-06,5e-06,5e-06,7e-06
4e-06,8e-06,5e-06,4e-06,5e-06
3e-06,4e-06,8e-06,1e-05,8e-06
7e-06,3e-06,5e-06,5e-06,6e-06
4e-06,4e-06,5e-06,4e-06,6e-06
5e-06,5e-06,5e-06,6e-06,6e-06
5e-06,5e-06,5e-06,7e-06,7e-06
3e-06,4e-06,8e-06,7e-06,1e-05
3e-06,4e-06,1.1e-05,9e-06,6e-06
6e-06,7e-06,5e-06,4e-06,6e-06
4e-06,6e-06,5e-06,6e-06,5e-06
5e-06,7e-06,6e-06,5e-06,6e-06
6e-06,4e-06,4e-06,7e-06,4e-06
5e-06,4e-06,4e-06,8e-06,5e-06
5e-06,4e-06,3e-06,6e-06,5e-06
5e-06,4e-06,7e-06,1e-05,6e-06
3e-06,4e-06,5e-06,6e-06,5e-06
5e-06,7e-06,5e-06,2.3e-05,1.7e-05
6.1e-05,5e-06,9e-06,8e-06,5e-06
4e-06,6e-06,8e-06,5e-06,7e-06
2.8e-05,6e-06,4e-06,7e-06,4e-06
6e-06,1.3e-05,6e-06,5e-06,6e-06
4e-06,6e-06,4e-06,6e-06,8e-06
7e-06,5e-06,1.7e-05,7e-06,8e-06
9e-06,4e-06,6e-06,1.5e-05,3e-06
5e-06,5e-06,6e-06,8e-06,1.4e-05
5e-06,5e-06,5e-06,4e-06,7e-06
5e-06,3e-06,6e-06,4e-06,5e-06
5e-06,7e-06,1.4e-05,5e-06,6e-06
4e-06,7e-06,1e-05,6e-06,5e-06
6e-06,1.4e-05,3e-05,1.1e-05,8e-06
7e-06,6e-06,7e-06,6e-06,5.6e-05
5e-06,8e-06,5e-06,8e-06,8e-06
5e-06,6e-06,5e-06,4e-06,6e-06
4e-06,7e-06,8e-06,7e-06,8e-06
4e-06,4e-06,8e-06,5e-06,1.2e-05
9e-06,5e-06,4e-06,6e-06,8e-06
4e-06,5e-06,7e-06,7e-06,1.7e-05
4e-06,9e-06,6e-06,5e-06,7e-06
5e-06,8e-06,7e-06,5e-06,1.8e-05
5e-06,5e-06,6e-06,7e-06,1e-05
3e-06,4e-06,6e-06,6e-06,1e-05
4e-06,5e-06,8e-06,6e-06,9e-06
5e-06,4e-06,4e-06,4e-06,5e-06
4e-06,4e-06,4e-06,7e-06,6e-06
4e-06,6e-06,6e-06,5e-06,7e-06
4e-06,4e-06,5e-06,4e-06,2e-05
5e-06,5e-06,1.1e-05,8e-06,9e-06
6e-06,3e-06,6e-06,5e-06,5e-06
6e-06,7e-06,8e-06,7e-06,9e-06
5e-06,7e-06,7e-06,5e-06,8e-06
5e-06,4e-06,4e-06,7e-06,8e-06

